country,iso3,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,early,2001,2002,2003,2004,midEarly,2006,2007,2008,2009,mid,2011,2012,2013,2014,midlater,2016,2017,earlyLate,Smoking Population,2020,2021,2022,2023
Aruba,ABW,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.20691777,,,,,18.24659672,,,,,15.85352551,,,,,13.85945617,,,12.47991453,12.45146178,12.12573979,,,
Afghanistan,AFG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,32.7,,,,,29.1,,,,,26,,,23.8,23.8,23.3,,,
Africa Western and Central,AFW,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78039345,,,,,10.59651246,,,,,8.775807752,,,,,7.318057044,,,6.347631261,6.352941127,6.120638205,,,
Angola,AGO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,31.3,,,,,28,,,,,25.1,,,23,23,22.4,,,
Andorra,AND,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,34.8,,,,,34,,,,,33,,,32,32,31.8,,,
Arab World,ARB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.42985518,,,,,22.49684454,,,,,21.74245957,,,,,21.12597967,,,20.70458952,20.69008068,20.57155541,,,
United Arab Emirates,ARE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,31.5,,,,,28.9,,,,,26.6,,,24.9,24.9,24.5,,,
Armenia,ARM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,30.3,,,,,28.6,,,,,26.9,,,25.8,25.8,25.5,,,
American Samoa,ASM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,21.1,,,,,18.2,,,,,15.7,,,14,14,13.6,,,
Austria,AUT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,,,,,43.8,,,,,37.1,,,,,31.2,,,27.1,27.1,26.4,,,
Azerbaijan,AZE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,27.6,,,,,26.2,,,,,25.2,,,24.2,24.2,24,,,
Burundi,BDI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,19.8,,,,,16.6,,,,,13.9,,,12.2,12.2,11.8,,,
Belgium,BEL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,,,,,30.5,,,,,28,,,,,25.7,,,23.9,23.9,23.4,,,
Benin,BEN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,13.4,,,,,10.7,,,,,8.6,,,7.2,7.2,6.9,,,
Burkina Faso,BFA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,,,,24.7,,,,,20.5,,,,,17,,,14.9,14.9,14.3,,,
Bangladesh,BGD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,,,,50.3,,,,,44,,,,,38.9,,,35.2,35.2,34.7,,,
Bulgaria,BGR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,45,,,,,42.9,,,,,40.7,,,39.4,39.4,39,,,
Bahrain,BHR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,20,,,,,18.1,,,,,16.4,,,15.2,15.2,14.9,,,
"Bahamas, The",BHS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,10.7,,,,,10.7,,,,,10.6,,,10.7,10.7,10.6,,,
Bosnia and Herzegovina,BIH,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6,,,,,43.4,,,,,40.3,,,,,37.7,,,35.5,35.5,35,,,
Belarus,BLR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,,,,,38.8,,,,,35.8,,,,,33,,,30.9,30.9,30.5,,,
Belize,BLZ,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,13,,,,,11.3,,,,,9.7,,,8.8,8.8,8.5,,,
Bermuda,BMU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,24.9,,,,,19.5,,,,,15.6,,,13.2,13.2,12.7,,,
Brazil,BRA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,20.4,,,,,17.4,,,,,14.9,,,13.2,13.2,12.8,,,
Barbados,BRB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,9.7,,,,,9.2,,,,,8.8,,,8.5,8.5,8.5,,,
Brunei Darussalam,BRN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,16.5,,,,,16.4,,,,,16.3,,,16.2,16.2,16.2,,,
Bhutan,BTN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,,,28.5,,,,,24.8,,,,,21.7,,,19.8,19.8,19.4,,,
Central African Republic,CAF,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,23.3,,,,,19.3,,,,,15.8,,,13.6,13.6,13,,,
Central Europe and the Baltics,CEB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.90605914,,,,,35.28541674,,,,,32.82461892,,,,,30.61368077,,,29.08958656,29.08399871,28.63928608,,,
Switzerland,CHE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,27.7,,,,,26.9,,,,,26.2,,,25.7,25.7,25.5,,,
Channel Islands,CHI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,,,,,41.7,,,,,37.1,,,,,32.9,,,29.9,29.9,29.2,,,
China,CHN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,26.6,,,,,26.2,,,,,25.9,,,25.7,25.7,25.6,,,
Cote d'Ivoire,CIV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,,15.8,,,,,13.2,,,,,11.1,,,9.7,9.7,9.4,,,
Cameroon,CMR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,11.2,,,,,9.7,,,,,8.4,,,7.5,7.5,7.3,,,
"Congo, Dem. Rep.",COD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,16.9,,,,,15.4,,,,,14,,,13,13,12.8,,,
"Congo, Rep.",COG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,12.2,,,,,12.8,,,,,13.5,,,14.3,14.3,14.5,,,
Colombia,COL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,13.2,,,,,11.4,,,,,9.9,,,8.8,8.8,8.5,,,
Comoros,COM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,32.8,,,,,27.7,,,,,23.5,,,20.8,20.8,20.3,,,
Cabo Verde,CPV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,17.8,,,,,15.2,,,,,13.1,,,11.7,11.7,11.4,,,
Costa Rica,CRI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,15,,,,,12.6,,,,,10.5,,,9.1,9.1,8.8,,,
Caribbean small states,CSS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,,,33.2,,,,,27,,,,,22,,,18.7,18.7,17.9,,,
Curacao,CUW,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,39.2,,,,,37.7,,,,,36.4,,,35.5,35.5,35.1,,,
Czechia,CZE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,,,33.4,,,,,32.3,,,,,31.4,,,30.9,30.9,30.7,,,
Germany,DEU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,,,,32.1,,,,,28.3,,,,,24.9,,,22.5,22.5,22,,,
Djibouti,DJI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,,,,,30.8,,,,,25.5,,,,,21.1,,,18.1,18.1,17.5,,,
Dominican Republic,DOM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,,16.1,,,,,13.9,,,,,12.2,,,10.9,10.9,10.6,,,
Algeria,DZA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,21.8,,,,,21.5,,,,,21.1,,,21,21,21,,,
East Asia & Pacific (excluding high income),EAP,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5066108,,,,,28.92110387,,,,,28.20463773,,,,,27.60413686,,,27.19294649,27.20113286,27.09722485,,,
Early-demographic dividend,EAR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.60557067,,,,,36.89153976,,,,,32.11983119,,,,,28.29576487,,,25.66688598,25.64906295,25.09617738,,,
