Entity,iso3,Year,Death Share
Afghanistan,AFG,2019,2.7915704
African Region (WHO),,2019,1.0739769
Albania,ALB,2019,3.2902296
Algeria,DZA,2019,3.711856
American Samoa,ASM,2019,3.827399
Andorra,AND,2019,1.2433821
Angola,AGO,2019,1.0357879
Antigua and Barbuda,ATG,2019,1.2387427
Argentina,ARG,2019,2.4206514
Armenia,ARM,2019,3.5335705
Australia,AUS,2019,0.95767856
Austria,AUT,2019,1.5476718
Azerbaijan,AZE,2019,3.920889
Bahamas,BHS,2019,1.1618825
Bahrain,BHR,2019,3.3353503
Bangladesh,BGD,2019,2.929174
Barbados,BRB,2019,0.9161476
Belarus,BLR,2019,1.944646
Belgium,BEL,2019,1.2746089
Belize,BLZ,2019,1.5003548
Benin,BEN,2019,0.9116223
Bermuda,BMU,2019,1.2979472
Bhutan,BTN,2019,1.6366405
Bolivia,BOL,2019,0.7653319
Bosnia and Herzegovina,BIH,2019,3.325279
Botswana,BWA,2019,2.4888554
Brazil,BRA,2019,1.9276487
Brunei,BRN,2019,1.6160614
Bulgaria,BGR,2019,2.4463675
Burkina Faso,BFA,2019,1.0402129
Burundi,BDI,2019,0.55666476
Cambodia,KHM,2019,3.0706453
Cameroon,CMR,2019,0.7916909
Canada,CAN,2019,1.1322726
Cape Verde,CPV,2019,1.2534881
Central African Republic,CAF,2019,0.6930095
Chad,TCD,2019,0.99772906
Chile,CHL,2019,2.0021942
China,CHN,2019,3.8483982
Colombia,COL,2019,1.4184507
Comoros,COM,2019,1.5456219
Congo,COG,2019,0.95085007
Cook Islands,COK,2019,4.5221305
Costa Rica,CRI,2019,1.3020934
Cote d'Ivoire,CIV,2019,1.6623917
Croatia,HRV,2019,2.8107977
Cuba,CUB,2019,2.022646
Cyprus,CYP,2019,1.7824978
Czechia,CZE,2019,2.0800266
Democratic Republic of Congo,COD,2019,0.49049482
Denmark,DNK,2019,1.3136812
Djibouti,DJI,2019,1.9247487
Dominica,DMA,2019,1.0283808
Dominican Republic,DOM,2019,1.4166808
East Asia & Pacific (WB),,2019,3.2389874
East Timor,TLS,2019,2.7436624
Eastern Mediterranean Region (WHO),,2019,2.7355943
Ecuador,ECU,2019,0.7840289
Egypt,EGY,2019,3.1318672
El Salvador,SLV,2019,0.9499614
England,,2019,1.3444194
