Entity,iso3,Year,Deaths
Afghanistan,AFG,2019,81.74982
African Region (WHO),,2019,51.500717
Albania,ALB,2019,102.6121
Algeria,DZA,2019,76.340706
American Samoa,ASM,2019,116.82009
Andorra,AND,2019,74.12339
Angola,AGO,2019,69.10124
Antigua and Barbuda,ATG,2019,37.751446
Argentina,ARG,2019,94.53464
Armenia,ARM,2019,117.68663
Australia,AUS,2019,44.65906
Austria,AUT,2019,67.89644
Azerbaijan,AZE,2019,145.31688
Bahamas,BHS,2019,40.429432
Bahrain,BHR,2019,82.734726
Bangladesh,BGD,2019,86.36839
Barbados,BRB,2019,31.980507
Belarus,BLR,2019,129.38614
Belgium,BEL,2019,82.282936
Belize,BLZ,2019,52.781895
Benin,BEN,2019,42.393845
Bermuda,BMU,2019,46.010788
Bhutan,BTN,2019,66.46802
Bolivia,BOL,2019,43.009888
Bosnia and Herzegovina,BIH,2019,146.0475
Botswana,BWA,2019,123.00863
Brazil,BRA,2019,73.121445
Brunei,BRN,2019,113.56838
Bulgaria,BGR,2019,148.83693
Burkina Faso,BFA,2019,31.388023
Burundi,BDI,2019,61.488216
Cambodia,KHM,2019,157.46944
Cameroon,CMR,2019,46.16437
Canada,CAN,2019,69.4215
Cape Verde,CPV,2019,37.827686
Central African Republic,CAF,2019,81.70987
Chad,TCD,2019,56.10047
Chile,CHL,2019,46.542465
China,CHN,2019,129.64526
Colombia,COL,2019,32.612385
Comoros,COM,2019,55.151295
Congo,COG,2019,58.817886
Cook Islands,COK,2019,86.949905
Costa Rica,CRI,2019,41.39398
Cote d'Ivoire,CIV,2019,60.87198
Croatia,HRV,2019,108.72878
Cuba,CUB,2019,103.83384
Cyprus,CYP,2019,79.797905
Czechia,CZE,2019,96.376976
Democratic Republic of Congo,COD,2019,43.505833
Denmark,DNK,2019,103.864006
Djibouti,DJI,2019,89.8567
Dominica,DMA,2019,45.635048
Dominican Republic,DOM,2019,91.82342
East Asia & Pacific (WB),,2019,111.73713
East Timor,TLS,2019,127.795166
Eastern Mediterranean Region (WHO),,2019,102.05286
Ecuador,ECU,2019,34.14047
Egypt,EGY,2019,125.599045
El Salvador,SLV,2019,28.575129
England,,2019,86.483345
Equatorial Guinea,GNQ,2019,43.1517
Eritrea,ERI,2019,46.405476
Estonia,EST,2019,83.86902
Eswatini,SWZ,2019,68.26797
Ethiopia,ETH,2019,21.235474
Europe & Central Asia (WB),,2019,95.29919
European Region (WHO),,2019,95.09855
Fiji,FJI,2019,122.227005
Finland,FIN,2019,53.673756
France,FRA,2019,58.122818
G20,,2019,98.18935
Gabon,GAB,2019,50.02432
Gambia,GMB,2019,64.74677
Georgia,GEO,2019,122.64156
Germany,DEU,2019,73.81833
Ghana,GHA,2019,37.114216
Greece,GRC,2019,107.07306
Greenland,GRL,2019,193.32458
Grenada,GRD,2019,48.996212
Guam,GUM,2019,83.486084
Guatemala,GTM,2019,36.620483
Guinea,GIN,2019,79.31179
Guinea-Bissau,GNB,2019,40.387897
Guyana,GUY,2019,65.95786
Haiti,HTI,2019,45.668667
High Income (WB),,2019,74.00228
Honduras,HND,2019,75.942444
Hungary,HUN,2019,131.1633
Iceland,ISL,2019,59.564655
India,IND,2019,98.77528
Indonesia,IDN,2019,126.163765
Iran,IRN,2019,57.35662
Iraq,IRQ,2019,119.00171
Ireland,IRL,2019,80.371574
Israel,ISR,2019,51.683834
Italy,ITA,2019,59.19102
Jamaica,JAM,2019,57.731255
Japan,JPN,2019,51.04208
Jordan,JOR,2019,82.41011
Kazakhstan,KAZ,2019,117.87994
Kenya,KEN,2019,50.027157
