iso3,five,fourteen,fortynine,sixtynine,seventy
AFG,,,15.401847,206.56844,543.8697
,0,0,7.1970453,127.07011,404.26416
ALB,,,11.859695,203.22816,1082.2407
DZA,,,8.975299,140.58876,688.07806
ASM,,,25.163736,319.3494,831.26874
AND,,,12.373557,165.80396,748.2388
AGO,,,10.709027,188.3558,485.3543
ATG,,,4.206606,93.028336,332.69293
ARG,,,12.1525755,268.42722,795.412
ARM,,,20.025404,344.51996,947.02484
AUS,,,6.336502,114.33263,422.32886
AUT,,,8.454762,177.51425,632.4999
AZE,,,21.898767,362.00238,1166.9279
BHS,,,8.391408,111.64184,299.90317
BHR,,,7.467609,107.14104,845.2173
BGD,,,10.159577,204.6554,743.32104
BRB,,,6.3259883,75.9094,292.62723
BLR,,,32.526237,429.8141,864.47833
BEL,,,8.6155615,207.8483,842.24927
BLZ,,,6.0153375,132.7507,448.46564
BEN,,,4.2641797,102.14796,371.40274
BMU,,,6.464455,118.946,435.7183
BTN,,,4.592853,125.936745,669.14343
BOL,,,3.0044188,100.92195,398.02933
BIH,,,20.753033,383.2467,1335.5704
BWA,,,20.778168,307.39615,981.19354
BRA,0,0,9.829973,184.36993,644.736
BRN,,,13.73687,182.77568,1106.9103
BGR,,,46.679012,533.28345,890.8914
BFA,,,6.8193464,94.21642,184.3634
BDI,,,9.96385,174.34184,417.7029
KHM,,,15.590885,326.2583,1452.473
CMR,,,6.201437,138.49551,302.2741
CAN,,,6.3483825,164.78317,723.9809
CPV,,,3.9433897,107.60016,301.1352
CAF,,,23.722443,248.15591,418.34058
TCD,,,7.438239,138.19044,440.13788
CHL,,,7.896694,133.66618,360.468
CHN,0,0,16.54833,231.32697,1339.3914
COL,,,3.3559835,77.16,313.70395
COM,,,8.424915,113.925934,490.24857
COG,,,10.04255,137.96619,472.65582
COK,,,21.1411,242.54591,668.9435
CRI,,,4.3478065,85.167854,438.19678
CIV,,,11.4029665,158.89049,444.63855
HRV,,,15.202428,304.03076,974.8687
CUB,,,12.54243,266.38434,925.52136
CYP,,,9.474329,177.62119,775.15814
CZE,,,12.120031,277.53568,867.5377
COD,,,7.7128596,126.15236,282.10315
DNK,,,6.784556,205.9803,1163.7528
DJI,,,14.202226,215.19423,688.0493
DMA,,,6.046577,118.0049,403.5912
DOM,,,11.995117,209.13438,840.0088
,0,0,16.65604,227.14442,1109.3439
TLS,,,11.533812,309.28247,1077.2428
,0,0,14.213029,254.15282,823.1866
ECU,,,3.9660888,68.057816,323.76013
EGY,,,17.181126,336.39304,913.1668
SLV,,,5.1497273,73.719765,237.03688
,0,0,8.833471,177.48282,954.73724
GNQ,,,4.107806,104.36542,357.66452
ERI,,,15.05344,143.31007,214.55194
EST,,,14.301485,267.98813,665.2279
SWZ,,,10.481931,160.30081,532.2918
ETH,0,0,2.2675169,46.188084,192.6115
,0,0,19.519258,280.57507,762.774
,0,0,19.382088,279.84268,762.0133
FJI,,,29.880463,359.5621,815.01544
FIN,,,5.334292,147.37456,510.93756
FRA,,,9.131501,170.9774,524.41644
,0,0,13.8931265,224.05022,937.10626
GAB,,,8.458642,150.13922,335.3587
GMB,,,9.353912,180.41574,467.73523
GEO,,,36.01593,395.95566,793.4996
DEU,,,9.03826,193.73666,705.84424
GHA,,,4.674989,95.64234,277.17578
GRC,,,20.333975,273.96692,1047.4686
GRL,,,20.077782,458.56702,1723.169
GRD,,,6.3587356,143.39812,362.03824
GUM,,,22.219316,260.3263,512.99915
GTM,,,4.6989865,70.02656,344.08875
GIN,,,10.589046,222.49527,590.5307
GNB,,,6.960088,126.898,242.07323
GUY,,,13.9937935,214.7133,392.38705
HTI,,,6.277169,146.07324,285.86545
,0,0,10.149117,188.72433,719.29565
HND,,,5.126194,167.55383,724.01556
HUN,,,25.690182,475.81207,887.3063
ISL,,,6.329607,131.02151,648.7481
IND,0,0,11.393325,213.95602,888.4846
IDN,0,0,20.787094,288.67743,1043.8033
IRN,0,0,8.303483,142.53577,496.8772
IRQ,,,12.262095,303.41864,973.1804
IRL,,,6.534879,149.00053,918.2853
ISR,,,4.694407,124.53558,527.59717
ITA,0,0,7.8617144,133.53648,643.0414
JAM,,,6.9339647,156.58022,485.26312
JPN,0,0,7.9305553,121.42879,563.67883
JOR,,,9.449319,172.00722,690.4496
KAZ,,,23.05849,351.03458,853.1055
KEN,0,0,6.4466715,122.36544,396.22604
KIR,,,92.55758,1028.6538,2308.0017
KWT,,,11.551904,109.093155,616.0892
KGZ,,,16.883837,314.66763,882.75793
LAO,,,17.407005,334.2877,1326.6055
,0,0,7.36108,145.67072,538.70404
LVA,,,21.424458,329.66132,650.35583
LBN,,,19.034933,357.33185,1388.4735
LSO,,,50.644005,456.97342,1081.0383
LBR,,,4.804668,95.91263,245.60194
LBY,,,14.726266,176.9061,610.18756
LTU,,,21.389433,291.98434,608.88544
,0,0,8.903382,175.0598,608.4324
,0,0,13.179212,238.64865,866.32776
LUX,,,7.80582,135.51027,712.79846
MDG,,,10.211695,135.5298,296.95044
MWI,,,8.528882,177.7549,550.6149
MYS,,,14.837013,222.74562,870.2338
MDV,,,7.956849,114.31981,888
MLI,,,4.41542,111.06665,384.73654
MLT,,,8.83765,161.50327,531.51935
MHL,,,46.213467,414.2974,897.8864
MRT,,,5.4204855,99.80733,233.48315
MUS,,,12.607882,151.62555,521.39246
MEX,0,0,4.8925333,81.61697,452.63687
FSM,,,57.41772,697.0945,1449.8989
,0,0,12.807946,222.40437,710.4104
,0,0,15.346036,230.61353,1065.1471
MDA,,,28.86614,353.04922,630.81696
MCO,,,17.692263,256.18817,940.36487
MNG,,,34.628468,429.6862,1268.7626
MNE,,,24.706253,522.987,1490.3833
MAR,,,10.222486,201.14995,536.57367
MOZ,,,13.239324,206.71669,484.92664
MMR,,,13.622297,293.28778,1455.1464
NAM,,,8.185932,173.48108,912.13055
NRU,,,65.90942,676.1513,1391.2198
NPL,,,7.556901,312.03723,1895.9078
NLD,,,7.4750648,185.85118,963.4766
NZL,0,0,7.1574774,130.74043,619.5429
NIC,,,3.2181547,80.341606,417.06073
NER,,,4.3748384,64.65678,195.1706
NGA,0,0,2.5249612,48.555958,190.04654
NIU,,,28.05392,324.82394,884.9455
,0,0,10.438187,225.44821,876.65247
PRK,,,25.02602,372.7699,1069.041
MKD,,,26.408161,461.8844,1401.375
,,,9.3072605,198.59128,975.5046
MNP,,,27.840523,303.81284,921.08826
NOR,0,0,4.6272383,126.727585,474.32053
,0,0,9.466419,187.19005,717.3357
OMN,,,4.2582397,105.12127,527.89594
PAK,0,0,15.941847,314.11157,1143.564
